 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.05 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.04 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
 Real time ; 0.03 sec. ;13.04 ticks
