 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.15 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.09 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.09 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.22 sec. ;41.31 ticks
 Real time ; 0.19 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.17 sec. ;41.31 ticks
 Real time ; 0.20 sec. ;41.31 ticks
 Real time ; 0.24 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.20 sec. ;41.31 ticks
 Real time ; 0.18 sec. ;41.31 ticks
 Real time ; 0.26 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.15 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.19 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.22 sec. ;41.31 ticks
 Real time ; 0.23 sec. ;41.31 ticks
 Real time ; 0.20 sec. ;41.31 ticks
 Real time ; 0.17 sec. ;41.31 ticks
 Real time ; 0.21 sec. ;41.31 ticks
 Real time ; 0.17 sec. ;41.31 ticks
 Real time ; 0.23 sec. ;41.31 ticks
 Real time ; 0.18 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.13 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.18 sec. ;41.31 ticks
 Real time ; 0.19 sec. ;41.31 ticks
 Real time ; 0.24 sec. ;41.31 ticks
 Real time ; 0.17 sec. ;41.31 ticks
 Real time ; 0.22 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.09 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.10 sec. ;41.31 ticks
 Real time ; 0.11 sec. ;41.31 ticks
 Real time ; 0.14 sec. ;41.31 ticks
 Real time ; 0.24 sec. ;41.31 ticks
 Real time ; 0.22 sec. ;41.31 ticks
 Real time ; 0.15 sec. ;41.31 ticks
 Real time ; 0.20 sec. ;41.31 ticks
 Real time ; 0.21 sec. ;41.31 ticks
 Real time ; 0.15 sec. ;41.31 ticks
 Real time ; 0.16 sec. ;41.31 ticks
 Real time ; 0.12 sec. ;41.31 ticks
 Real time ; 0.20 sec. ;41.31 ticks
