 Real time ; 0.09 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.11 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.11 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.10 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.10 sec. ;38.08 ticks
 Real time ; 0.08 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.11 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.18 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.20 sec. ;38.08 ticks
 Real time ; 0.20 sec. ;38.08 ticks
 Real time ; 0.22 sec. ;38.08 ticks
 Real time ; 0.27 sec. ;38.08 ticks
 Real time ; 0.24 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.19 sec. ;38.08 ticks
 Real time ; 0.19 sec. ;38.08 ticks
 Real time ; 0.18 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.20 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.19 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.18 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.20 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.22 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.20 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.11 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.17 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.17 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.15 sec. ;38.08 ticks
 Real time ; 0.17 sec. ;38.08 ticks
 Real time ; 0.19 sec. ;38.08 ticks
 Real time ; 0.19 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.17 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.16 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.12 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
 Real time ; 0.13 sec. ;38.08 ticks
 Real time ; 0.14 sec. ;38.08 ticks
