 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.05 sec. ;12.85 ticks
 Real time ; 0.06 sec. ;12.85 ticks
 Real time ; 0.08 sec. ;12.85 ticks
 Real time ; 0.05 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.06 sec. ;12.85 ticks
 Real time ; 0.08 sec. ;12.85 ticks
 Real time ; 0.07 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.04 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.05 sec. ;12.85 ticks
 Real time ; 0.07 sec. ;12.85 ticks
 Real time ; 0.06 sec. ;12.85 ticks
 Real time ; 0.03 sec. ;12.85 ticks
 Real time ; 0.09 sec. ;12.85 ticks
 Real time ; 0.09 sec. ;12.85 ticks
 Real time ; 0.08 sec. ;12.85 ticks
 Real time ; 0.09 sec. ;12.85 ticks
 
