 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.14 sec. ;41.67 ticks
 Real time ; 0.11 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.11 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
 Real time ; 0.09 sec. ;41.67 ticks
